name,objID,ra,dec,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
101,5.88016E+17,23.50975185,0.01162046,22.821159,22.451317,20.864277,20.184874,19.850687
102,5.88016E+17,22.18563409,0.01546595,23.204935,25.231546,24.178314,22.509207,22.088877
103,5.88016E+17,15.33928419,0.01070812,24.042912,21.60643,21.329851,21.020607,21.113186
104,5.88016E+17,12.55663201,0.01143771,23.873734,24.087233,22.970512,21.217421,20.566832
105,5.88016E+17,10.48091285,0.01082258,22.86545,22.459549,20.585497,19.948349,19.464769
106,5.88016E+17,13.73238685,0.01405634,23.414831,22.965302,25.038784,25.524681,22.834251
107,5.88016E+17,13.73238685,0.01405634,23.414831,22.965302,25.038784,25.524681,22.834251
108,5.88016E+17,18.84772516,0.01162624,23.498531,23.397991,21.305515,20.816076,20.075453
109,5.88016E+17,14.51546429,0.01520776,25.287273,22.725315,21.511478,20.967094,20.482626
110,5.88016E+17,15.33033367,0.01870891,23.391069,22.47978,22.551985,21.227829,21.756725
111,5.88016E+17,5.78523283,0.01284029,21.976801,21.686796,21.792177,21.834909,20.730816
112,5.88016E+17,18.85450153,0.01010804,26.579678,23.697163,21.658302,21.693905,24.578363
113,5.88016E+17,5.26996073,0.01251681,23.739157,23.228779,22.290981,21.350096,21.120697
114,5.88016E+17,14.5924202,0.01016763,23.430653,23.045334,24.744724,24.98444,22.172155
115,5.88016E+17,5.78523283,0.01284029,21.976801,21.686796,21.792177,21.834909,20.730816
116,5.88016E+17,22.19331514,9.39E-03,23.456774,22.672533,22.131657,21.001976,20.595457
117,5.88016E+17,14.05767254,0.01394434,23.851282,23.295275,22.188267,22.309917,22.199715
118,5.88016E+17,10.47445676,9.38E-03,22.830044,23.004221,22.200403,22.149469,22.428759
119,5.88016E+17,18.87043386,0.01600349,23.485718,23.58147,22.60647,22.680811,22.080603
120,5.88016E+17,22.19331514,9.39E-03,23.456774,22.672533,22.131657,21.001976,20.595457
121,5.88016E+17,5.78523283,0.01284029,21.976801,21.686796,21.792177,21.834909,20.730816
122,5.88016E+17,14.5893417,9.34E-03,22.654316,23.152044,22.494913,22.34363,23.271467
123,5.88016E+17,18.87043386,0.01600349,23.485718,23.58147,22.60647,22.680811,22.080603
124,5.88016E+17,5.78523283,0.01284029,21.976801,21.686796,21.792177,21.834909,20.730816
125,5.88016E+17,23.53559734,8.08E-03,25.401709,23.611889,22.183285,22.632128,20.552595
126,5.88016E+17,23.43924987,8.47E-03,24.919924,26.188641,25.001743,24.127541,20.507071
127,5.88016E+17,18.82896735,0.01152679,23.30187,22.360207,21.881704,22.327442,21.366821
128,5.88016E+17,15.26152667,0.01402258,21.712982,21.481976,20.297155,20.66733,20.905558
129,5.88016E+17,15.13910625,0.0101675,25.355213,22.525028,24.23484,24.530912,22.80776
130,5.88016E+17,23.43206348,0.01347047,23.266394,22.167248,21.855705,21.530115,21.766563
131,5.88016E+17,5.77974053,0.01214829,26.186472,25.348537,22.366255,24.009148,21.745831
132,5.88016E+17,12.54501116,0.01825247,-9999,-9999,-9999,-9999,-9999
133,5.88016E+17,5.77309263,0.0153892,22.495623,22.015676,21.242477,20.72797,20.172266
134,5.88016E+17,23.53159684,0.01736409,23.428885,24.247877,23.108442,22.247217,21.326014
135,5.88016E+17,5.77974053,0.01214829,26.186472,25.348537,22.366255,24.009148,21.745831
136,5.88016E+17,23.09859927,0.01732464,24.73448,23.761356,22.791988,21.998001,21.346741
137,5.88016E+17,12.36751467,0.01820784,24.161694,24.170839,24.48645,21.895527,23.315598
138,5.88016E+17,8.94319484,0.01094016,25.904974,25.071264,24.080223,21.651855,21.483952
139,5.88016E+17,15.27567813,0.01703799,25.746826,22.400261,21.847403,21.380774,21.222589
140,5.88016E+17,18.25270395,0.01965805,22.761341,22.488096,21.417448,21.128941,20.894501
141,5.88016E+17,5.77309263,0.0153892,22.495623,22.015676,21.242477,20.72797,20.172266
142,5.88016E+17,5.77309263,0.0153892,22.495623,22.015676,21.242477,20.72797,20.172266
143,5.88016E+17,5.77974053,0.01214829,26.186472,25.348537,22.366255,24.009148,21.745831
144,5.88016E+17,9.07870986,0.01823313,22.066711,24.937626,25.700562,23.823061,22.889147
145,5.88016E+17,13.71163378,0.0150017,18.211544,15.811488,14.397837,13.458766,12.471244
146,5.88016E+17,23.4347058,0.01499841,23.601496,22.309761,21.66711,21.388205,21.469618
147,5.88016E+17,23.4347058,0.01499841,23.601496,22.309761,21.66711,21.388205,21.469618
148,5.88016E+17,10.22638168,0.01498965,28.031202,21.914864,21.158329,19.738483,19.716803
149,5.88016E+17,5.77309263,0.0153892,22.495623,22.015676,21.242477,20.72797,20.172266
150,5.88016E+17,18.26828903,0.01678288,23.092022,23.089329,22.464378,22.396198,23.045605
151,5.88016E+17,15.27567813,0.01703799,25.746826,22.400261,21.847403,21.380774,21.222589
152,5.88016E+17,13.71163378,0.0150017,18.211544,15.811488,14.397837,13.458766,12.471244
153,5.88016E+17,23.44547368,9.80E-03,26.06945,22.183739,25.301332,25.960241,24.132875
154,5.88016E+17,5.26978002,0.01612386,22.753317,22.836874,22.17045,21.945341,20.498966
155,5.88016E+17,5.26978002,0.01612386,22.753317,22.836874,22.17045,21.945341,20.498966
156,5.88016E+17,13.75617199,0.01367452,19.295481,19.068754,19.658205,28.852852,27.168718
157,5.88016E+17,10.30761531,0.02112813,25.857311,22.352854,21.494421,20.594872,20.643999
158,5.88016E+17,10.30761531,0.02112813,25.857311,22.352854,21.494421,20.594872,20.643999
159,5.88016E+17,10.30761531,0.02112813,25.857311,22.352854,21.494421,20.594872,20.643999
160,5.88016E+17,14.05740284,0.01781721,22.846098,22.032755,21.236259,21.005201,22.301359
161,5.88016E+17,18.80326317,0.01737537,24.234934,22.257637,21.687376,21.220673,22.386724
162,5.88016E+17,22.28907121,0.01526888,23.795565,22.928448,21.11265,20.27013,19.802454
163,5.88016E+17,22.28907121,0.01526888,23.795565,22.928448,21.11265,20.27013,19.802454
164,5.88016E+17,10.30761531,0.02112813,25.857311,22.352854,21.494421,20.594872,20.643999
165,5.88016E+17,21.4889708,0.01817569,25.22797,24.074041,22.712313,21.921625,21.837831
166,5.88016E+17,18.80326317,0.01737537,24.234934,22.257637,21.687376,21.220673,22.386724
167,5.88016E+17,8.95055678,0.02307846,25.46369,22.723946,21.549528,21.233343,21.283401
168,5.88016E+17,9.12645168,0.02314149,23.239298,22.71862,21.502871,20.524006,19.782557
169,5.88016E+17,13.72495414,0.01688668,22.688772,23.850197,22.436598,20.904602,20.478668
170,5.88016E+17,5.2584777,0.02016221,23.562897,20.950649,19.682859,19.230854,18.918037
171,5.88016E+17,23.55356406,0.01696592,23.977497,22.972065,22.433926,21.463869,21.47538
172,5.88016E+17,5.2584777,0.02016221,23.562897,20.950649,19.682859,19.230854,18.918037
173,5.88016E+17,22.31084318,0.01550903,24.353294,24.869678,25.138885,22.025526,22.202953
174,5.88016E+17,5.2584777,0.02016221,23.562897,20.950649,19.682859,19.230854,18.918037
175,5.88016E+17,9.12645168,0.02314149,23.239298,22.71862,21.502871,20.524006,19.782557
176,5.88016E+17,21.4889708,0.01817569,25.22797,24.074041,22.712313,21.921625,21.837831
177,5.88016E+17,5.2584777,0.02016221,23.562897,20.950649,19.682859,19.230854,18.918037
178,5.88016E+17,23.55356406,0.01696592,23.977497,22.972065,22.433926,21.463869,21.47538
179,5.88016E+17,23.43749417,0.02166715,24.618845,24.020645,21.888166,21.848755,20.495953
180,5.88016E+17,5.7740733,0.01987787,20.7505,20.13719,19.477406,19.22156,19.023977
181,5.88016E+17,5.2584777,0.02016221,23.562897,20.950649,19.682859,19.230854,18.918037
182,5.88016E+17,22.31084318,0.01550903,24.353294,24.869678,25.138885,22.025526,22.202953
183,5.88016E+17,13.72104857,0.02488928,21.665264,21.587744,20.436941,19.329054,19.301353
184,5.88016E+17,5.77407328,0.01987793,20.898621,20.249987,19.534449,19.275383,18.973417
185,5.88016E+17,8.93829609,0.01903696,23.608114,25.047939,21.555399,21.102921,20.161407
186,5.88016E+17,21.48347115,0.01736333,24.231775,22.797106,22.754198,23.245966,23.708099
187,5.88016E+17,8.94861928,0.02354134,25.840715,23.071238,21.926065,22.074228,22.251371
188,5.88016E+17,18.81892075,0.01709498,23.234026,23.187908,22.680365,21.88282,23.063528
189,5.88016E+17,10.48434726,0.01684134,25.048086,21.165983,26.486225,19.520338,18.239265
190,5.88016E+17,14.06475182,0.01913402,19.562897,17.704006,16.590376,16.152685,15.788262
191,5.88016E+17,14.05320676,0.01433926,23.617117,20.859535,19.61368,19.119942,18.927338
192,5.88016E+17,10.29081352,0.02287831,23.881554,22.735395,21.919924,21.793453,21.107063
193,5.88016E+17,5.26971937,0.01827793,22.868124,20.660967,19.00795,17.899012,17.269077
194,5.88016E+17,10.29081352,0.02287831,23.881554,22.735395,21.919924,21.793453,21.107063
195,5.88016E+17,23.43749417,0.02166715,24.618845,24.020645,21.888166,21.848755,20.495953
196,5.88016E+17,10.23340982,0.02004009,22.110735,22.007486,20.576771,19.70038,19.371582
197,5.88016E+17,23.31586235,0.02447086,21.745329,18.917191,17.474432,16.669512,16.222429
198,5.88016E+17,22.29195745,0.02309238,23.660805,23.682203,22.256239,21.540552,21.888702
199,5.88016E+17,5.77539709,0.02041815,22.026165,22.639618,22.271399,22.406651,23.17329
200,5.88016E+17,14.04186131,0.02475044,21.711674,20.968817,20.249031,20.155396,19.827007
201,5.88016E+17,5.77539709,0.02041815,22.026165,22.639618,22.271399,22.406651,23.17329
202,5.88016E+17,22.20651196,0.02429854,25.675007,23.919071,22.288486,21.531458,20.60253
203,5.88016E+17,23.56382113,0.02211396,23.072952,22.893509,22.541552,22.335131,21.703617
204,5.88016E+17,22.29195745,0.02309238,23.660805,23.682203,22.256239,21.540552,21.888702
205,5.88016E+17,5.77539709,0.02041815,22.026165,22.639618,22.271399,22.406651,23.17329
206,5.88016E+17,5.77539709,0.02041815,22.026165,22.639618,22.271399,22.406651,23.17329
207,5.88016E+17,5.77539709,0.02041815,22.026165,22.639618,22.271399,22.406651,23.17329
208,5.88016E+17,10.23340982,0.02004009,22.110735,22.007486,20.576771,19.70038,19.371582
209,5.88016E+17,5.27230021,0.0261171,25.32081,22.01894,20.9554,20.50429,20.642183
210,5.88016E+17,13.74240274,0.02924269,23.050837,25.500166,23.284485,20.987028,20.109961
211,5.88016E+17,18.26474154,0.02209705,23.554676,23.815092,23.845606,21.534836,20.638546
212,5.88016E+17,23.50590217,0.02070163,23.619339,20.809464,19.476126,18.85635,18.447554
213,5.88016E+17,18.27023234,0.02721106,23.105453,22.000324,21.235888,20.688129,20.698599
214,5.88016E+17,5.75922266,0.02371961,25.223915,21.774733,20.308914,19.225634,18.71571
215,5.88016E+17,13.74240274,0.02924269,23.050837,25.500166,23.284485,20.987028,20.109961
216,5.88016E+17,21.50525355,0.02275865,23.969122,22.876778,21.92613,21.133331,20.578178
217,5.88016E+17,21.48607271,0.02619378,21.675499,20.94182,20.614189,20.426428,20.348833
218,5.88016E+17,22.29895942,0.02070249,22.160656,25.148092,24.646475,25.29985,23.378454
219,5.88016E+17,22.29895942,0.02070249,22.160656,25.148092,24.646475,25.29985,23.378454
220,5.88016E+17,10.29082078,0.0228895,24.445183,23.45425,22.493963,22.271076,21.310841
221,5.88016E+17,23.45954331,0.0247086,23.333797,23.919109,22.583881,22.364666,21.559185
222,5.88016E+17,18.84863831,0.0254207,20.442768,19.041788,18.442272,18.190222,18.098518
223,5.88016E+17,23.51435029,0.0197059,23.411228,22.675949,22.818327,22.017128,21.947664
224,5.88016E+17,18.28137376,0.0257887,25.137604,24.683708,25.234657,21.493187,21.846775
225,5.88016E+17,8.94424269,0.0290178,22.961914,22.446283,21.063757,20.835308,20.531519
226,5.88016E+17,18.86241253,0.02322041,22.023211,20.236364,19.517521,19.231001,18.983891
227,5.88016E+17,10.29817503,0.02521929,-9999,-9999,-9999,-9999,-9999
228,5.88016E+17,10.22750952,0.02392888,25.409739,22.796164,21.400154,20.07058,19.49114
229,5.88016E+17,5.27230021,0.0261171,25.32081,22.01894,20.9554,20.50429,20.642183
230,5.88016E+17,18.86241253,0.02322041,22.023211,20.236364,19.517521,19.231001,18.983891
231,5.88016E+17,18.86241253,0.02322041,22.023211,20.236364,19.517521,19.231001,18.983891
232,5.88016E+17,10.29817651,0.02522575,22.984386,20.046556,18.654245,17.549347,16.902498
233,5.88016E+17,13.72104857,0.02488928,21.665264,21.587744,20.436941,19.329054,19.301353
234,5.88016E+17,13.72104857,0.02488928,21.665264,21.587744,20.436941,19.329054,19.301353
235,5.88016E+17,18.2909437,0.02181299,24.3279,22.561674,21.761452,21.477385,20.888868
236,5.88016E+17,8.94424269,0.0290178,22.961914,22.446283,21.063757,20.835308,20.531519
237,5.88016E+17,22.29195745,0.02309238,23.660805,23.682203,22.256239,21.540552,21.888702
238,5.88016E+17,8.93030198,0.02291365,25.209538,21.834904,20.703327,20.326805,19.932495
